2026-02-17 16:26:47,851 | scene_detector | INFO | detect_scenes:40 | Starting scene detection: /Users/hossein/coding/video_analysis_project/video-analysis-api/uploads/test_video.mp4
2026-02-17 16:26:47,851 | scene_detector | INFO | detect_scenes:41 | Threshold: 27.0
2026-02-17 16:26:48,893 | scene_detector | INFO | detect_scenes:80 | Detected 1 scenes
2026-02-17 16:26:48,893 | scene_detector | INFO | get_scene_keyframes:104 | Generated 1 keyframes
2026-02-17 16:26:48,894 | scene_detector | INFO | detect_scenes:40 | Starting scene detection: /Users/hossein/coding/video_analysis_project/video-analysis-api/uploads/test_video.mp4
2026-02-17 16:26:48,894 | scene_detector | INFO | detect_scenes:41 | Threshold: 27.0
2026-02-17 16:26:49,899 | scene_detector | INFO | detect_scenes:80 | Detected 1 scenes
2026-02-17 16:26:49,899 | scene_detector | INFO | get_scene_keyframes:104 | Generated 1 keyframes
2026-02-17 16:39:14,890 | scene_detector | INFO | detect_scenes:40 | Starting scene detection: /Users/hossein/coding/video_analysis_project/video-analysis-api/uploads/test_video_2.mp4
2026-02-17 16:39:14,890 | scene_detector | INFO | detect_scenes:41 | Threshold: 27.0
2026-02-17 16:39:20,170 | scene_detector | INFO | detect_scenes:80 | Detected 97 scenes
2026-02-17 16:39:20,170 | scene_detector | INFO | get_scene_keyframes:104 | Generated 97 keyframes
2026-02-17 16:39:20,170 | scene_detector | INFO | detect_scenes:40 | Starting scene detection: /Users/hossein/coding/video_analysis_project/video-analysis-api/uploads/test_video_2.mp4
2026-02-17 16:39:20,170 | scene_detector | INFO | detect_scenes:41 | Threshold: 27.0
2026-02-17 16:39:25,502 | scene_detector | INFO | detect_scenes:80 | Detected 97 scenes
2026-02-17 16:39:25,502 | scene_detector | INFO | get_scene_keyframes:104 | Generated 15 keyframes
